,0,1,2
group,-0.5020335965773368,0.004816491873253797,-0.40446398374519904
individual,0.30968663605373464,0.07970311937202719,0.3498481112328185
age,-0.1403046535471002,-0.8709173658085633,-0.03825205473897845
class,0.30443293727417875,-0.5423200754500791,-1.0499124751012145
gender,0.39502979028606944,-0.42184063952493817,-0.012569204995007337
cultural/racial,-0.2412756583958238,-0.9545072040162279,0.11669964507401377
not specified or anyone,-1.0507701996245298,1.2277654967368599,-0.23092610804239463
residential,0.3964897755276602,-0.21252941642859938,-0.451421816215653
special status,-0.09024081648808228,-0.43040877718725046,1.4725619600105875
traveler,-0.37884113065642955,0.08956466957767122,0.5555279155982074
country,1.0146047118958261,0.4415185888500801,0.8439376765307091
city,-0.2949428169357693,-0.1740042308881434,-0.5487105317708473
world,-1.9990154804987987,2.8561444977172132,0.4365594300424082
architecture/site,-0.09386921315554193,-0.45741995521940965,0.23460098172403623
non-urban/rural,-0.22510472495982323,-0.8982731690177679,-0.12132466286399314
physical place,-0.41041206065135394,0.05427040110585065,-0.29947878420913554
memorized place,-0.02031457572203032,-0.4321689141540163,1.4090318540523261
psychological place,0.9908512822813008,0.4505994680139385,-0.33367880569558833
interview,-0.07446285277034254,-0.7066623279849128,0.5931033660222929
drawing/sketching,-0.11610667166045284,-0.47819444729115135,0.4290241043536206
questionnaire and survey,-0.5338229539852887,0.19636859357843162,-0.852461757247066
embodied movement,-0.07076631807565371,-0.35028942592289325,-0.6148162458488539
fieldwork and ethnography,-0.15371689082131595,-0.859208991827003,-0.4924972316559241
video recording/taking pictures,0.131725658472017,-0.2355433190003381,-0.6724188691637369
hardware,-0.2266588922355307,-0.7186935530932426,-0.4938178358312727
historical material mining,-0.41866374328074346,-0.18386447643106144,1.4651471664987377
prepared toolkit,-0.2540271244086465,-0.5314554412560384,-0.40162635018684123
personal experience,1.5205489621735069,0.6060352778834487,0.2048248541960119
system/platform development,-1.6262866175455828,1.911151597086672,0.026192600783199894
inherent emotional attitude,1.3825319590894096,0.7738494534067027,-0.0570845783897035
collaborative activity,-0.6783114553705244,0.12860128859670658,-0.2461173659193341
posting sticky notes,-0.5698799660659827,-0.7579272338653961,-0.4641592530920274
typeface,-0.08919981773461198,-0.44006075070969536,1.1668808189649875
image/photo,-0.42386282550354654,0.06297416917042073,0.10075011808353862
wording/phrasing,-0.19061294892203476,-0.7942515492450642,-0.5726349887470689
layout,-0.45082779076668583,1.117543117244812,0.14650460965977996
symbol/metaphor,0.8523111979294343,0.3145772828599422,-0.09862796039406435
animation/simulation,-0.07225146313027639,0.11577256913168192,-0.2802569567842126
annotated content/associated stories,-0.46022445084681335,-0.22397646402803906,0.2502481497991954
shape,0.05033067766886628,-0.519362929852601,0.6535386398120906
body language,2.1620497299563937,1.2765995378152735,-0.14114105103332894
collage,0.6893335845762641,0.23474524552942405,-0.5770173020523918
color,0.2520860035776924,-0.15803221890270114,0.05147367291910942
style,0.17703562136985898,-0.6704665866934948,1.2363444495699634
sound,-0.05192332419774041,-0.1631645792633224,0.36443849908035836
tangible material/texture,1.078817245231949,0.3527808039689575,-0.22348778404304542
personalized visual,-1.5219572759141369,2.223440535878501,1.1821895582743316
installation,-0.398955996844796,-0.08435838402385558,-0.35283290220470814
performance,2.1620497299563937,1.2765995378152735,-0.14114105103332894
statis image/painting,-0.0463377054810421,-0.5130310560863158,-0.055075912051942864
video,0.053346187123164863,-1.128372822709344,2.6313619290354615
interactive interface,-1.2157612829942384,1.092777700542418,0.2741873879764868
event,-0.41108582547417905,-0.6116589285899404,-0.7143071214073372
artifact,1.5104645093401452,0.6470651647526701,-0.1973222334663199
